elevation,lat,lon,yld
1624.3438,41.250024,-97.144689,158.5978
1624.6719,41.250025,-97.144654,169.4794
1624.6719,41.250026,-97.144623,188.0685
1624.6719,41.250026,-97.144591,187.0492
1624.6719,41.250028,-97.144559,179.8252
1625.0,41.250027,-97.144528,154.3387
1624.6719,41.250026,-97.144495,159.9709
1624.6719,41.250028,-97.144464,159.5321
1624.6719,41.250029,-97.144433,146.4905
1624.6719,41.250029,-97.144402,133.8309
1625.0,41.25003,-97.14437,154.079
1625.0,41.25003,-97.144338,167.6436
1625.0,41.250031,-97.144306,168.9204
1625.3281,41.250032,-97.144275,161.0177
1625.3281,41.250032,-97.144243,159.0687
1625.3281,41.250033,-97.14421,164.7176
1625.3281,41.250033,-97.144178,157.7066
1625.0,41.250033,-97.144144,178.1103
1625.0,41.250034,-97.144109,172.3843
1625.0,41.250035,-97.144074,165.6802
1625.0,41.250036,-97.144038,178.466
1624.6719,41.250037,-97.144002,172.9262
1624.6719,41.250037,-97.143967,161.4277
1624.6719,41.250037,-97.143931,150.6577
1624.3438,41.250039,-97.143895,118.5475
1624.6719,41.25004,-97.143861,159.4101
1624.6719,41.25004,-97.143825,175.339
1624.6719,41.250041,-97.143789,178.414
1624.6719,41.250042,-97.143754,168.8319
1624.6719,41.250042,-97.143719,168.3715
1624.6719,41.250043,-97.143685,177.3105
1625.0,41.250045,-97.143649,160.3407
1625.0,41.250046,-97.143613,164.2193
1625.3281,41.250046,-97.143577,172.7813
1625.3281,41.250046,-97.143542,188.0399
1625.3281,41.250048,-97.143507,196.2115
1625.6562,41.250049,-97.143472,177.7945
1625.6562,41.25005,-97.143437,186.0731
1625.6562,41.25005,-97.143401,192.742
1625.3281,41.250051,-97.143366,196.6907
1625.6562,41.250053,-97.143331,195.6256
1625.6562,41.250053,-97.143295,189.3317
1625.6562,41.250053,-97.143259,193.16
1625.3281,41.250055,-97.143224,194.6558
1625.3281,41.250054,-97.143188,186.0901
1625.3281,41.250055,-97.143153,194.9013
1625.6562,41.250057,-97.143118,187.5054
1625.3281,41.250059,-97.143083,177.5596
1625.0,41.250057,-97.143046,163.1968
1625.3281,41.250057,-97.143011,208.0435
1625.6562,41.250058,-97.142976,192.0182
1625.3281,41.250058,-97.14294,178.0719
1625.6562,41.250057,-97.142904,165.6167
1625.6562,41.250058,-97.142869,158.3057
1625.3281,41.25006,-97.142832,144.8264
1625.3281,41.250062,-97.142798,145.9776
1625.6562,41.250064,-97.142763,147.6502
1625.6562,41.250063,-97.142727,168.7345
1625.6562,41.250063,-97.14269,166.7506
1625.6562,41.250066,-97.142655,161.3613
1625.3281,41.250067,-97.14262,154.3261
1625.3281,41.250067,-97.142584,149.8152
1625.0,41.250068,-97.142549,161.761
1624.6719,41.250068,-97.142513,163.6206
1624.6719,41.250068,-97.142476,153.6954
1624.3438,41.250068,-97.14244,170.8462
1624.3438,41.25007,-97.142404,165.8985
1624.0157,41.250071,-97.142368,178.823
1623.3596,41.250072,-97.142333,180.4972
1623.0315,41.250072,-97.142296,164.43
1622.3753,41.25007,-97.142257,139.7356
1622.0472,41.250074,-97.142231,188.8565
1621.7192,41.250073,-97.142206,201.7617
1621.7192,41.250074,-97.142178,181.4674
1621.7192,41.250076,-97.142149,172.6652
1621.7192,41.250078,-97.14212,177.6587
1621.7192,41.25008,-97.142093,214.6864
1621.7192,41.250082,-97.142064,206.7085
1621.7192,41.250084,-97.142038,193.9498
1621.7192,41.250088,-97.142016,220.0119
1621.3911,41.250093,-97.141999,213.6707
1621.3911,41.250098,-97.141984,186.385
1621.3911,41.250103,-97.141966,151.167
1621.3911,41.250107,-97.141959,151.3183
1621.063,41.250108,-97.141956,102.3192
1620.7349,41.250104,-97.141966,54.7298
1621.063,41.250099,-97.14198,17.7633
1621.7192,41.250123,-97.141964,142.5794
1621.7192,41.25014,-97.141957,228.6278
1621.7192,41.250155,-97.141955,153.4722
1621.7192,41.250166,-97.141953,92.597
1619.7507,41.250121,-97.142077,181.2966
1620.0787,41.250119,-97.142106,204.2933
1620.4068,41.250117,-97.142134,262.9391
1620.7349,41.250116,-97.142164,210.6529
1621.063,41.250115,-97.142195,201.42
1621.3911,41.250113,-97.142226,190.6687
1621.7192,41.250113,-97.142258,194.0527
1621.7192,41.250112,-97.142287,169.6368
1622.0472,41.250111,-97.14231,240.0905
1622.3753,41.250111,-97.142336,218.4901
1622.7034,41.25011,-97.142363,265.629
1623.0315,41.25011,-97.142394,211.8295
1623.3596,41.250109,-97.142426,185.948
1623.6877,41.250109,-97.142457,173.9114
1624.3438,41.250108,-97.142488,174.3849
1624.6719,41.250108,-97.142521,193.5537
1624.6719,41.250108,-97.142554,189.8102
1625.0,41.250107,-97.142586,185.9089
